method,path,requires_body,operation_id,summary
POST,/api/v1/auth/register,true,register_new_user_api_v1_auth_register_post,Register New User
POST,/api/v1/auth/login/access-token,true,login_for_access_token_api_v1_auth_login_access_token_post,Login For Access Token
POST,/api/v1/users/verify-email-request,false,request_email_verification_api_v1_users_verify_email_request_post,Request Email Verification
GET,/api/v1/users/verify-email/,false,verify_email_api_v1_users_verify_email__get,Verify Email
GET,/api/v1/users/users/me,false,read_users_me_api_v1_users_users_me_get,Read Users Me
GET,/api/v1/users/users/all,false,read_all_users_api_v1_users_users_all_get,Read All Users
POST,/api/v1/ingredients/,true,create_ingredient_api_v1_ingredients__post,Create Ingredient
GET,/api/v1/ingredients/,false,read_ingredients_api_v1_ingredients__get,Read Ingredients
GET,/api/v1/ingredients/{ingredient_id},false,read_ingredient_api_v1_ingredients__ingredient_id__get,Read Ingredient
PUT,/api/v1/ingredients/{ingredient_id},true,update_ingredient_api_v1_ingredients__ingredient_id__put,Update Ingredient
DELETE,/api/v1/ingredients/{ingredient_id},false,delete_ingredient_api_v1_ingredients__ingredient_id__delete,Delete Ingredient
POST,/api/v1/recipes/,true,create_recipe_api_v1_recipes__post,Create Recipe
GET,/api/v1/recipes/,false,read_recipes_api_v1_recipes__get,Read Recipes
GET,/api/v1/recipes/{recipe_id},false,read_recipe_api_v1_recipes__recipe_id__get,Read Recipe
PUT,/api/v1/recipes/{recipe_id},true,update_recipe_api_v1_recipes__recipe_id__put,Update Recipe
DELETE,/api/v1/recipes/{recipe_id},false,delete_recipe_api_v1_recipes__recipe_id__delete,Delete Recipe
POST,/api/v1/recipes/trigger-cost-update/ingredient/{ingredient_id},false,trigger_recipe_cost_updates_for_ingredient_api_v1_recipes_trigger_cost_update_ingredient__ingredient_id__post,Trigger Recipe Cost Updates For Ingredient
GET,/api/v1/pricing/configuration,false,get_pricing_configuration_api_v1_pricing_configuration_get,Get Pricing Configuration
POST,/api/v1/pricing/configuration,true,create_or_update_pricing_configuration_api_v1_pricing_configuration_post,Create Or Update Pricing Configuration
POST,/api/v1/orders/,true,create_order_api_v1_orders__post,Create Order
GET,/api/v1/orders/,false,read_orders_api_v1_orders__get,Read Orders
GET,/api/v1/orders/{order_id},false,read_order_api_v1_orders__order_id__get,Read Order
PUT,/api/v1/orders/{order_id},true,update_order_api_v1_orders__order_id__put,Update Order
DELETE,/api/v1/orders/{order_id},false,delete_order_api_v1_orders__order_id__delete,Delete Order
POST,/api/v1/orders/quotes/,true,create_quote_api_v1_orders_quotes__post,Create Quote
GET,/api/v1/orders/quotes/,false,read_quotes_api_v1_orders_quotes__get,Read Quotes
GET,/api/v1/orders/quotes/{quote_id},false,read_quote_api_v1_orders_quotes__quote_id__get,Read Quote
PUT,/api/v1/orders/quotes/{quote_id},true,update_quote_api_v1_orders_quotes__quote_id__put,Update Quote
DELETE,/api/v1/orders/quotes/{quote_id},false,delete_quote_api_v1_orders_quotes__quote_id__delete,Delete Quote
POST,/api/v1/orders/quotes/{quote_id}/convert-to-order,false,convert_quote_to_order_api_v1_orders_quotes__quote_id__convert_to_order_post,Convert Quote To Order
POST,/api/v1/orders/{order_id}/create-payment-intent,false,create_payment_intent_for_order_api_v1_orders__order_id__create_payment_intent_post,Create Payment Intent For Order
GET,/api/v1/orders/{order_id}/invoice/pdf,false,get_order_invoice_pdf_api_v1_orders__order_id__invoice_pdf_get,Get Order Invoice Pdf
GET,/api/v1/orders/{order_id}/client-portal-url,false,get_client_portal_url_for_order_api_v1_orders__order_id__client_portal_url_get,Get Client Portal Url For Order
POST,/api/v1/calendar/events/,true,create_calendar_event_api_v1_calendar_events__post,Create Calendar Event
GET,/api/v1/calendar/events/,false,read_calendar_events_api_v1_calendar_events__get,Read Calendar Events
GET,/api/v1/calendar/events/{event_id},false,read_calendar_event_api_v1_calendar_events__event_id__get,Read Calendar Event
PUT,/api/v1/calendar/events/{event_id},true,update_calendar_event_api_v1_calendar_events__event_id__put,Update Calendar Event
